A. Cunningham,
A. J. Daycombe & Co.,
Akrad Radio Corp. Ltd,Akrad
Alan Seccome,
Allied Industries Ltd,
Ambassador Radio Co.,
Antone Ltd,
Autocrat Radio Ltd,Autocrat
Beacon Radio Ltd,Beacon
Bell Radio-TV Corp. Ltd,Bell
Calverts Ltd,
Cash Radio Co. Ltd,Cash Radio
Challenge Radio Co.,
Chaston Ltd,
Collier & Beale Ltd,Collier & Beale
D. H. Shipperd,
David J. Reid Ltd,David Reid
Dominion Radio & Electrical Corp.,Dreco
Electric Service Co.,
Ellis & Co. Ltd,
Ellison Radio Labs,
F. W. Mountjoy & Sons Ltd,
Fisher's Radio Service,
Fountain Mfg Co. Ltd,Fountain
G. S. Anchor,
General Radio Co. Ltd,
Harley Mfg Co. Chch,
Hartle & Gray Ltd,
Heath Electronics Ltd,
His Master's Voice N.Z. Ltd,HMV
Hohner Electric Co.,
Imperial Radio Mfg Co.,
International Traders Ltd,
J. Wiseman & Sons Ltd,
K. S. Irvine,
Keith's Radio Service,
L. A. Chaston,
L. J. Lawrence,
La Wood Television Ltd,La Wood
Larsen Radio Ltd,
Lincoln & Fletcher Ltd,
Melhuish Radio Co.,
N.Z. Radio Mfg Co. Ltd,
Natcla Radio Ltd,
Paramount Radio,
Parsons & Drury Ltd,
Philips Electical Industries of N.Z. Ltd,Philips
Planet Radios Ltd,
Preston Billings Ltd,
Probert & Hunt Ltd,
Radio & Electrical Service Co.,
Radio (1936) Ltd,
Radio Corporation of N.Z. Ltd,
Radio Ltd,
Radio Ltd / Ultimate Ekco Ltd,
Radio Products Ltd,
Radio Service Co.,
Rees & Ramsden,
Royal Engineering Co.,
S.D. Mandeno & Co.,
Selectra Radio Co.,
Selwyn Gane,
Sexton Radio Co.,
Sheffield Radio Ltd,
Stella Industries Ltd,
Stewart Radio Ltd,
Swan Electric Co. Ltd,
Swinburne Radio Ltd,
T. Megann Ltd,
The Electric Service Co.,
Thorn Radio Industries Ltd,
Turnbull & Jones Ltd,
Universal Radio Co.,
W. Marks Ltd,
Webb's Radio Ltd,
Wellmade Ltd,
Westco Products Ltd,
Westonhouse Radio Co.,
World Radio Industries Ltd,
Unknown,
Various Manufacturers,
